"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T6022",0.07854811,0.088171026,0.078312486,0.079750541,0.431599071511643,0.172304504773362,17.3022574766089
"T6024",0.076197696,0.08472153,0.075975309,0.077876422,0.392632831202363,0.272463487442466,19.1568499518775
"T6028",0.078872441,0.085933102,0.078721057,0.079950099,0.303312154767048,0.514897984266135,23.6458850995296
"T1085",0.056641139,0.056315898,0.057444975,0.061419121,0.285853828411006,0.565538335835556,24.5835664982702
"T1086",0.049489364,0.049736559,0.052222621,0.055328876,0.395681022814397,0.264542337684115,19.0101780873494
"T5743",0.140231821,0.135139088,0.140716019,0.133962194,0.0830487168794141,1.38485295812111,39.7543948441237
"T6893",0.080741612,0.083077248,0.087911071,0.079373989,0.333524218262299,0.430202372240333,22.0776199218546
"T0862",0.056992103,0.052759047,0.060180477,0.054378989,0.431916743859216,0.171496365883209,17.287293583559
"T0868",0.053038393,0.050593259,0.054891082,0.052781454,0.19530570075288,0.858509111373796,30.0083559810254
"T1653",0.056384004,0.055433653,0.057431062,0.057290163,0.00549529042053373,2.54299815829121,61.1991750951356
"T1655",0.058106385,0.058486101,0.058685043,0.062868352,0.249194717222009,0.677026037342116,26.6479270457624
"T1656",0.056397522,0.054567188,0.057951507,0.058654524,0.175896964989236,0.931115290447458,31.3527673336534
"T2458",0.043089526,0.044086388,0.046871073,0.045759083,0.249615556110989,0.675700037401389,26.6233741854323
"T8308",0.041875773,0.042514688,0.042346971,0.045550408,0.265260495213665,0.627210913375613,25.7255259629952
"T8318",0.039637704,0.039288749,0.041000139,0.04266271,0.251513519507556,0.66973452454315,26.5129138456488
"T2151",0.063551069,0.063786558,0.063532347,0.064487784,1.91561581093764e-12,6.943271104172,142.67677078437
"T2119",0.055496548,0.049800633,0.055881969,0.050675158,0.444413348706038,0.139789009203415,16.7001847337889
"T6034",0.091056812,0.07941184,0.090578807,0.086363439,0.456968214814224,0.108074709368688,16.1129473211825
"T6045",0.085902667,0.077052123,0.085489961,0.082506191,0.369678010056868,0.332706264774361,20.2723345399959
"T6058",0.072614546,0.062930186,0.072279406,0.068646892,0.473087120803449,0.0675118336784146,15.3618653710097
"T6069",0.076863646,0.065996433,0.076334281,0.072668668,0.490048703790288,0.0249467877801737,14.5737102627141
"T6030",0.087812065,0.077785482,0.087489759,0.083802239,0.415364118989271,0.213767669733622,18.0700096211186
"T6041",0.089852684,0.078923754,0.089322028,0.085241413,0.437877566699933,0.156352554205413,17.0068833953155
"T6054",0.074960851,0.064114763,0.074310654,0.07028612,0.497506810614421,0.0062495396887784,14.2275029162089
"T6065",0.077264792,0.066165869,0.076362184,0.072537647,0.49199289764177,0.0200721769084275,14.4834495951066
"T6036",0.106163069,0.092343662,0.105199595,0.100429307,0.459279185981058,0.102249835546537,16.0050911222468
"T6047",0.088876546,0.079378464,0.088381643,0.085148098,0.384434112424358,0.293855628945074,19.5529572565182
"T6071",0.07566916,0.065104594,0.075113245,0.070972634,0.48739717988308,0.031595841464712,14.6968273771495
"T6038",0.087686127,0.076873686,0.087347531,0.083421982,0.444890790360431,0.138580591910586,16.6778090910004
"T6049",0.087423553,0.07676114,0.086990829,0.083183947,0.439333789945544,0.152658511900161,16.9384827099243
"T6062",0.071973062,0.0627577,0.071371122,0.068231985,0.453659239839904,0.116421521499454,16.2675009573884
"T6032",0.089697198,0.07817233,0.089166828,0.085156194,0.457579729008303,0.106533020353416,16.0844006569619
"T6043",0.08753581,0.077372268,0.087171355,0.083436354,0.421419608416886,0.198263104708468,17.7829195482995
"T6056",0.072172402,0.062575813,0.071607972,0.068061752,0.469035187048725,0.0776953738740046,15.5504287580873
"T6067",0.075843818,0.065126511,0.075596289,0.071740055,0.493454310231339,0.0164083473018045,14.4156083427493
"T6040",0.090013202,0.078656182,0.089704668,0.08533373,0.454657620795831,0.113902300892104,16.2208538423976
"T6051",0.085711758,0.075175475,0.085013076,0.081942172,0.437229681263265,0.157996746380929,17.0373280579443
"T6064",0.073209801,0.063124663,0.072683066,0.068879294,0.48228215513553,0.0444266609360414,14.9344090758542
"T6075",0.076824364,0.066062574,0.076391293,0.072201254,0.489675675691463,0.0258821326123897,14.5910295629045
"T6093",0.079594557,0.069218698,0.078753359,0.07494556,0.459438808679462,0.101847631954855,15.9976437247715
"T6106",0.075381597,0.066364368,0.075199241,0.071354454,0.437687383599222,0.156835153482998,17.0158194384434
"T6117",0.07762988,0.069686655,0.077427565,0.074366605,0.371819218424281,0.327038935273309,20.1673955083941
"T6102",0.074860642,0.066499282,0.074717035,0.071405509,0.409851055362951,0.227928133777134,18.3322116659234
"T6113",0.079462344,0.07023115,0.079309383,0.075235064,0.42779936174544,0.181979615198885,17.4814065305869
"T6084",0.073981738,0.063252922,0.073395703,0.06941279,0.498784601372584,0.00304655727719792,14.1681949348314
"T6095",0.07593285,0.065867433,0.075381197,0.07138048,0.469675936732507,0.0760844976579203,15.5206009899798
"T6108",0.074899234,0.066918737,0.074507495,0.071403821,0.38565983661431,0.29064914017313,19.4935843496654
"T6119",0.078726882,0.069299719,0.078211668,0.074335765,0.433121415608073,0.168432767975117,17.2305665134931
"T6086",0.073587776,0.063151805,0.073127283,0.069118694,0.493106823046419,0.017279492102936,14.4317388839149
"T6097",0.074971868,0.064976904,0.074500167,0.070586203,0.472203432538305,0.0697321336435518,15.4029775258903
"T6110",0.081565397,0.071938644,0.081485603,0.077504291,0.433461139390564,0.167569104148385,17.2145744936909
"T6121",0.080007452,0.07027113,0.079706766,0.075830747,0.441398065597465,0.14742556099354,16.8415868438098
"T6080",0.073415519,0.063006336,0.072932319,0.068719419,0.493720949660883,0.0157398950052411,14.4032309546584
"T6091",0.07497005,0.064731486,0.074229396,0.070510724,0.476605546788031,0.0586748475303626,15.1982354341085
