"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T7344",0.074618616,0.074999113,0.077333425,0.176448650042877,0.92898415086973,51.4656683093978
"T7346",0.066737794,0.065665793,0.067576269,0.0904049546365935,1.33826548369807,69.6104763194951
"T7348",0.080994708,0.080005149,0.073405827,0.422576316961569,0.195306978878092,18.9393096426495
"T7352",0.079581802,0.079483822,0.079610487,2.23893038916548e-158,26.7878394479875,1197.87506226991
"T7354",0.081203809,0.0795131,0.071144667,0.463444075903376,0.0917607218094069,14.348758342174
"T7356",0.060344329,0.058124943,0.050771914,0.491194073389887,0.022074977367289,11.2593566213453
"T7358",0.067611346,0.065012244,0.061170587,0.413798075551731,0.217785617593208,19.9358627495198
"T7360",0.072394513,0.073249711,0.084126214,0.487137854267735,0.0322462056563887,11.7102811315281
"T7362",0.070585707,0.068770432,0.066895641,0.271402705137501,0.608576160170356,37.2609122899495
"T7364",0.080318508,0.082094801,0.087051934,0.379955866558553,0.30559670033329,23.828821234743
"T7366",0.064343724,0.061030758,0.056138209,0.460683178438252,0.0987127353893125,14.6569643158481
"T7370",0.059640558,0.056489644,0.049212653,0.499780743148478,0.000549595451099785,10.3050645711455
"T7372",0.060253805,0.059474704,0.061615636,0.152352188034428,1.02639724508773,55.7843160230391
"T7374",0.051330006,0.050567878,0.059962505,0.499466008026284,0.00133851977943244,10.3400402207144
"T7376",0.05593856,0.052849981,0.053485502,0.302863379070873,0.516182777048651,33.1648051292307
"T7378",0.062919844,0.060115262,0.053790951,0.479095969404185,0.0524226349766243,12.6047696092094
"T7380",0.05731737,0.056740265,0.061163726,0.376009440258811,0.31597842981644,24.2890779656884
"T7382",0.068350559,0.066904155,0.062353576,0.404054925961356,0.24286516514014,21.047722828929
"T7384",0.060748391,0.059907813,0.060061031,0.00252955003553599,2.80324640703833,134.55797199141
"T7404",0.063230895,0.061150097,0.057205761,0.415174812918717,0.214253181682959,19.7792580713722
"T7406",0.062886666,0.06110321,0.064143387,0.243827017088048,0.6940449275382,41.0500281140999
"T7410",0.067571377,0.067058487,0.073706838,0.424047044155433,0.191550795306276,18.7727854836064
"T7394",0.065484377,0.063904504,0.058683001,0.434324047379511,0.165375933971177,17.6123664868878
"T7398",0.069895621,0.070329109,0.079779359,0.474381252622146,0.0642608762783475,13.1295983721353
"T7400",0.077423865,0.075188912,0.069875189,0.420928084191041,0.199519784866808,19.126077398024
"T7402",0.078666242,0.07596336,0.066258114,0.490971845983062,0.0226321580650279,11.2840583020146
"T7416",0.084398937,0.083509988,0.076965667,0.412288920009553,0.221660938751908,20.1076686755711
"T7418",0.077715969,0.07852738,0.085172443,0.416128762382932,0.211807105675923,19.6708153549183
"T7420",0.071733689,0.073151538,0.084310945,0.492714638845827,0.0182627073919166,11.0903459647689
"T7422",0.061111246,0.059239652,0.065210316,0.410998443539736,0.224977359775317,20.2546966925456
"T7424",0.074386678,0.073659516,0.072754036,0.0361064893389229,1.79777305679733,89.9819812582966
"T7426",0.079909538,0.078788626,0.071987356,0.431448979701097,0.172686368211944,17.9364624451679
"T7428",0.078082428,0.080861546,0.090283483,0.475624959705874,0.0611372299102604,12.9911166992754
"T7430",0.069617829,0.069947867,0.077665105,0.449559626625537,0.126774027058596,15.9010150677744
"T7432",0.061282204,0.059915757,0.066313691,0.426011694691537,0.186537353034676,18.5505228486133
"T7223",0.080210687,0.079780512,0.083328771,0.237956908546061,0.712890017015745,41.8854938514209
"T7224",0.071941174,0.072283596,0.078747808,0.418675608220089,0.205282755289262,19.3815691185007
"T7225",0.074999816,0.072086629,0.067742912,0.416672403785838,0.210413691502518,19.6090406522211
"T7227",0.078337083,0.079081128,0.080272146,0.0549087966563121,1.59901354348754,81.1703084066077
"T7229",0.080469076,0.080327143,0.08023055,2.47986130241157e-50,14.8726673787183,669.635701558976
"T7232",0.0714319,0.06850455,0.06140444,0.475405121146281,0.0616893236212102,13.0155928568357
"T7233",0.066116863,0.064493637,0.069056611,0.33827433584353,0.417177376513894,28.7755651601081
"T7234",0.060303878,0.057605103,0.052980487,0.454211771946804,0.115027223666381,15.3802400526737
"T7436",0.074644193,0.073025317,0.070881272,0.261519584187332,0.638667640130325,38.5949680672804
"T7438",0.08479077,0.083114073,0.076280257,0.430398020291318,0.175360926946688,18.0550345638089
"T7440",0.085464605,0.084732621,0.082132444,0.197248516791579,0.851490328433048,48.0301084211292
"T7236",0.064227805,0.062178365,0.05645092,0.456523905062126,0.109195020039919,15.1216789931046
