"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T6208",0.05429543,0.054253273,0.062453502,0.072084869,0.092877091,0.068698928,0.125548715,0.079152954,0.159348364,0.135273265,0.12259342,0.156723865,0.18050037,0.063706236,0.166534514,0.106057153,0.344696137452722,0.399679931912868,2.62570243995414
"T6219",0.058184389,0.056155926,0.06645107,0.179315307,0.100254006,0.065517737,0.130237376,0.08630677,0.160052196,0.138532893,0.127602662,0.157714347,0.177444429,0.074116262,0.166863574,0.112734551,0.225720926199355,0.753013415565712,2.96733963093412
"T7305",0.145208942,0.077939202,0.072244936,0.056456805,0.087057744,0.118718818,0.065979619,0.055981404,0.071056794,0.067154467,0.065848835,0.070663679,0.072193664,0.064846738,0.071589575,0.061842472,0.128942690419907,1.13140330557545,3.33320379354251
"T7309",0.196996224,0.082300558,0.078489623,0.060029792,0.115944861,0.063168786,0.077301056,0.069030725,0.080334111,0.078070729,0.077140027,0.080131121,0.080904682,0.076321375,0.080615848,0.074126949,0.355960864470332,0.369276380570801,2.59630532828237
"T7313",0.177939496,0.091367613,0.077710055,0.107065066,0.095172863,0.194348411,0.069286999,0.070291226,0.074596225,0.070233708,0.069142005,0.074009133,0.076774862,0.06856622,0.075632517,0.0682423,0.258021572700794,0.649456823701978,2.86721104197043
"T7315",0.2110373,0.091002721,0.074774832,0.100069457,0.097427998,0.118461504,0.085561378,0.071663479,0.090259333,0.086796516,0.085325268,0.089944721,0.091229369,0.084109854,0.090722717,0.080709734,0.278209955513846,0.588167438238658,2.80795050071034
"T7317",0.140533686,0.097864208,0.073032671,0.055866824,0.100190185,0.073104768,0.076493102,0.070427097,0.082016643,0.077706221,0.076278106,0.081580997,0.083354183,0.075314334,0.082637161,0.073098141,0.0191654582482834,2.07129842380948,4.2419858446791
"T7323",0.178436616,0.090659414,0.076421894,0.083326163,0.077040719,0.085950809,0.081318805,0.075393289,0.084038661,0.081832272,0.081232499,0.083768521,0.084846331,0.080804245,0.084381223,0.079589041,0.123120051866006,1.15953027405921,3.3603996833977
"T7348",0.202991651,0.077914829,0.087852012,0.077602536,0.081630166,0.131040012,0.073917745,0.082005305,0.071960649,0.073418891,0.07399094,0.072109031,0.071997137,0.074477168,0.071937684,0.076144175,0.399232489331535,0.255334211249683,2.48613495252687
"T7360",0.238884036,0.079387689,0.077620654,0.073014746,0.107163635,0.076075729,0.082364596,0.072096482,0.089224627,0.084049211,0.082124717,0.088737298,0.090791271,0.080815774,0.08994588,0.077438217,0.493682123779081,0.0158372291893069,2.25456596746097
"T7412",0.242927407,0.146060308,0.080585095,0.08961896,0.127284002,0.349893491,0.084511836,0.065438743,0.095347063,0.087129656,0.084028274,0.094477585,0.097847073,0.081796707,0.096517727,0.075854692,0.471133008433796,0.0724220759336351,2.30927770294075
"T7428",0.246256002,0.081567315,0.075785622,0.082710414,0.105275417,0.166321469,0.089471673,0.07660101,0.09297729,0.090235565,0.089300538,0.092660865,0.093981004,0.088699165,0.093430044,0.086848199,0.453824262613016,0.116005068008701,2.35141798025921
"T7430",0.206986729,0.099389703,0.082374235,0.071712839,0.092347188,0.265978082,0.07636066,0.069755745,0.081072364,0.077601992,0.076120456,0.080701475,0.082005037,0.075222433,0.081442539,0.072695981,0.387594939897214,0.285592981274797,2.51539207553434
