"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T7322",0.055550487,0.076106421,0.077647824,0.099244396,0.056281955,0.481672233891943,0.0459570689014178,5.47745497682772
"T7323",0.081296238,0.076811849,0.08164052,0.162571377,0.079656307,0.000289659208467757,3.44111679288786,36.2393538105496
"T7324",0.062131131,0.079749981,0.087223919,0.275100134,0.063496491,0.461723270749943,0.0960932131321355,5.9317143113274
"T7326",0.072599474,0.086692356,0.0874162,0.213673688,0.07526142,0.273871469874273,0.601145711176476,10.5077505257051
"T7328",0.070501256,0.082968516,0.084974176,0.261360641,0.071201177,0.287056579449063,0.562004198007967,10.1531082213146
"T7330",0.059625707,0.080644638,0.080439835,0.203060476,0.060966611,0.457960431917953,0.105573357990919,6.0176093150336
"T7332",0.074056546,0.071886066,0.074197065,0.234797061,0.071101261,2.01086470647946e-06,4.6102562471031,46.832360483842
"T7334",0.076946987,0.08946872,0.08981262,0.230954803,0.079404601,0.204858240361598,0.824392665939073,12.5304831202353
"T7338",0.075767107,0.069833843,0.071608794,0.212398405,0.07031335,0.00859099713290056,2.3827899676925,26.6503667300101
"T7340",0.07016937,0.086642764,0.088053915,0.25806738,0.071653618,0.360109634516232,0.358165760425962,8.30622680627495
"T7342",0.062203986,0.080151165,0.084444431,0.207767453,0.062045077,0.453006200775043,0.118069737656017,6.1308329623129
"T7344",0.077001862,0.085212457,0.085450849,0.212425007,0.076523893,0.106055394635052,1.24778230837865,16.3666117288415
"T7346",0.06710873,0.070929737,0.079840395,0.230079163,0.065902563,0.247224543066704,0.683249678283855,11.251654829282
"T7348",0.07393516,0.086625474,0.087881069,0.23246841,0.07600788,0.244527208172085,0.691813565658496,11.3292480674383
"T7352",0.079857123,0.084599265,0.084586202,0.211078474,0.079991102,0.00248533546718274,2.80892834018187,30.5114002510762
"T7354",0.071855778,0.091662697,0.091809043,0.24302821,0.074371402,0.388324002498397,0.283689939815373,7.63143744570509
"T7358",0.060719282,0.081736303,0.085690173,0.254571956,0.060578472,0.485911357250395,0.0353223339796199,5.38109879143928
"T7360",0.082299688,0.073201057,0.076803766,0.266988612,0.077711628,0.0421474992934692,1.72629141766192,20.7021511459688
"T7362",0.066525066,0.083154252,0.083596608,0.233515239,0.066425716,0.386374172207212,0.288781821033381,7.67757251669897
"T7364",0.086616511,0.079476285,0.080904249,0.242812468,0.085455655,0.0181132661050264,2.09437562669748,24.0371839930678
"T7368",0.061706226,0.084050869,0.088033548,0.281289423,0.065207579,0.473863560175254,0.0655612755928934,5.655079204253
"T7372",0.061267513,0.070474239,0.078879289,0.287664058,0.060288575,0.383222405392141,0.297028421229407,7.75229096931258
"T7374",0.058597493,0.06028369,0.070668183,0.267138461,0.053556136,0.353937933851039,0.374710385365925,8.45612964443876
"T7376",0.052896203,0.068465198,0.07580182,0.28198804,0.0505471,0.499289764063562,0.00178029842036519,5.07719064324194
"T7380",0.060514586,0.06589356,0.072784005,0.278253619,0.058594909,0.287745342477967,0.559983510709813,10.1347997518186
