"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T6016",0.079263474,0.187297104,0.092268763,0.12320913,0.099944897,0.440433867137197,0.149869298596578,2.61469252219257
"T6018",0.081956987,0.198738042,0.101429405,0.121964624,0.09757628,0.472731642736234,0.0684049450500447,2.4140352087728
"T6024",0.073020197,0.197964241,0.078679951,0.130950116,0.102538414,0.481315618037119,0.046851935290273,2.36094733848073
"T6028",0.075486259,0.196718841,0.084094054,0.151200124,0.102651426,0.466166035518432,0.084911095093074,2.45469200623509
"T4795",0.076047613,0.084169092,0.077488511,0.094078999,0.078339972,0.000508021495760529,3.28604632356022,10.3395050179861
"T4797",0.102754185,0.192369776,0.117860586,0.077098579,0.12550536,0.455987978595547,0.11054652138905,2.51783540018571
"T4799",0.08878159,0.119288414,0.145807531,0.07872561,0.06916618,0.226300209671098,0.751086799847315,4.09556953563389
"T4796",0.102240694,0.10623195,0.285272818,0.105993616,0.091643862,1.55799803045302e-07,5.11629257195045,14.8476399151569
"T4800",0.105195225,0.133113302,0.151168129,0.102606378,0.091291257,0.0596599735899944,1.55763436647246,6.08220124408791
"T4809",0.075141526,0.114751233,0.077418504,0.146719515,0.101176801,0.281013529041879,0.579833271740097,3.67374979033852
"T4811",0.093299803,0.161527807,0.157724664,0.114765025,0.100860745,0.258178571425116,0.648970966110386,3.84404493667457
"T4801",0.086812395,0.146894217,0.372310089,0.104543415,0.093148164,0.239660486642279,0.707395112618058,3.9879512191982
"T4803",0.088546691,0.090771649,0.436260851,0.191271265,0.107643917,0.464999126626021,0.0878470355831195,2.46192361006481
"T4805",0.074325493,0.108638078,0.357888418,0.071091253,0.100517688,0.156620534119887,1.00844460562112,4.72947533180129
"T5743",0.134501452,0.16442381,0.148028279,0.213865023,0.122606236,0.250244661875195,0.673720032049164,3.90500510961803
"T5745",0.092931456,0.106003169,0.154601539,0.214520141,0.104463891,0.495738906112387,0.0106811815145348,2.27185406073365
"T5757",0.127869689,0.221791284,0.194841916,0.153610281,0.0858995,0.445113627953536,0.13801665351107,2.58549791355411
"T5759",0.113214423,0.091346308,0.187145958,0.104443904,0.090771234,0.00239011488181108,2.8214821503262,9.19522295038254
