"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672694",13.25369033,12.89544572,13.41359628,13.51256134,13.7935658,13.38685874,10.65251152,14.21655688,14.42209108,14.46736729,11.09626803,11.24112156,14.52588253,14.01974312,0.38019622668944,0.304965467262088,8.95217062114371
"GSM672701",13.08300781,12.60212045,14.41200297,13.77427435,13.37237472,13.28071041,9.949760223,13.35045167,13.36243383,13.67938253,10.27987156,10.42133532,13.37626729,13.36020558,0.490775766253579,0.0231237857064918,8.46126711125577
"GSM672702",12.81874535,12.58745911,14.32986134,13.73114758,13.40184461,13.17062045,9.897079554,12.99247212,13.1468632,13.23707546,10.26731784,10.0326223,13.20505651,13.07284758,0.475225918627031,0.0621393795196622,8.52922331928553
"GSM672703",13.38472454,12.88436691,14.37000297,13.78122565,13.98711561,13.57959368,10.19194089,13.43237621,13.5423026,13.75962305,10.51167881,10.59704647,13.58615465,13.40092937,0.465574596612818,0.086399061161799,8.57147811567035
"GSM672710",10.85811264,9.120642751,12.98202045,11.99510037,12.3463026,12.22607175,12.02055242,14.93051896,14.8536461,15.0717881,12.30598216,12.87947621,15.09480297,14.84014647,0.468294464890092,0.0795578373666005,8.55956227428573
"GSM672711",10.91926171,9.167288104,12.9736632,12.25010112,12.54013457,12.2829855,12.01517881,14.76273346,15.02706357,15.15316729,12.67092974,12.65911338,15.28264684,14.71080558,0.437193362211985,0.158088928828132,8.69634540806856
"GSM672712",10.65717695,9.158375465,12.93810186,12.39912119,12.58894312,12.1644855,12.0179461,14.64045799,14.961471,15.16584238,12.99076729,12.6866171,15.22980632,14.90736059,0.478656386993825,0.0535260518945068,8.51422087983205
"GSM672713",10.53120149,9.436229368,12.86639294,12.96154498,11.9506539,11.67069814,11.20686022,12.31733383,12.35779405,12.79829665,11.36849442,11.61259814,12.10981524,12.39370818,8.83927969005643e-09,5.63330772918008,18.2329196708324
"GSM672714",10.77930967,9.263840892,12.88276766,12.70631673,12.40940483,11.7148948,11.21893048,12.24467361,12.57097026,12.94463234,11.802529,11.32028439,12.6418026,12.43328327,1.04163027994433e-07,5.19175049869698,17.4638283389039
"GSM672715",10.52767361,9.338898513,12.85326877,12.89381004,12.16591599,11.59898848,11.00246134,12.24736022,12.40042639,12.89544572,11.58120632,11.36968216,12.56927323,12.32441041,2.0430419293765e-06,4.6069549993016,16.4452488242084
