"","mta","ydfK","ymfD","ymfF","ymfH","pval","z","inv_cof_var"
"GSM672788",9.305324535,7.861327881,8.665937918,12.07309777,11.6998658,0.430090142827462,0.176144672909281,5.3045015730907
"GSM672789",8.940002974,7.583214498,9.02275948,11.72602565,11.77446952,0.445037063087657,0.138210412393169,5.26865627199605
"GSM672790",9.078768959,7.503384387,9.012932342,11.91770855,11.74086617,0.496309832329128,0.00925001052954878,5.14679744645956
"GSM672791",8.828901487,7.814337918,9.146624535,11.96150149,11.81669368,0.431364602459681,0.172901051761629,5.30143657129304
"GSM672792",9.021356134,7.875115242,9.110960595,11.73846877,11.75077844,0.295726927661117,0.536730398093228,5.64523060573289
"GSM672793",8.810766914,7.868198885,9.198179926,11.9083223,11.83088699,0.395549091893001,0.264884831513634,5.38835499901972
"GSM672794",8.859812268,7.557595911,9.132736059,11.85025242,11.53634684,0.426651451322048,0.184905824291123,5.31278026641291
"GSM672796",9.265559851,7.835530855,8.529390335,11.7060368,11.35176059,0.285253921005211,0.56730373188503,5.67412033075518
"GSM672797",8.939422491,7.775827509,9.204114126,11.96838401,11.6620948,0.376927654895996,0.313559913010202,5.43434964682128
"GSM672798",8.919800372,7.732870632,9.208952416,11.79619814,11.67967361,0.352292910168099,0.379137419344024,5.496315938706
"GSM672799",9.041450186,7.832513011,9.198179926,11.97753792,11.9151855,0.401973515122828,0.248242183004594,5.37262882593232
"GSM672800",9.068281041,7.816307063,9.282447212,11.87881301,11.79984164,0.332276353419895,0.433636112128,5.54781350384969
"GSM672801",9.269001115,7.865181413,9.192094796,12.06361859,11.8281881,0.350608625520223,0.383677823759789,5.50060631266242
"GSM672802",8.954337175,7.798363941,9.278698513,11.97375353,11.87752714,0.408841435027276,0.230526247542966,5.35588846953271
"GSM672803",9.004359108,7.830516357,9.278698513,11.91830149,11.92279405,0.382962337229153,0.297709785115732,5.41937235191594
"GSM672804",8.898016357,7.911683643,9.177965799,12.01987993,11.85151487,0.400032023779501,0.253264214402309,5.37737430469238
"GSM672805",8.822447584,7.791298513,9.1897829,11.89274275,11.79238513,0.409140914024527,0.229755419554095,5.35516008940938
"GSM672806",8.797762082,7.883198141,8.746243494,11.86338253,11.76959033,0.449146755205457,0.127817361323418,5.25883554424708
"GSM672807",9.042649442,7.845779182,9.2522,11.76116208,11.67702007,0.266881758175553,0.622271259232959,5.72606091273589
"GSM672808",9.102701487,7.818343866,9.130303346,11.7543855,11.6522461,0.278047911213125,0.588650391955315,5.69429147544533
"GSM672809",9.168436059,7.848711896,9.298148699,11.86726952,11.85151487,0.308707960882274,0.499515994534239,5.61006552059663
"GSM672811",9.163631227,7.963007807,9.314887361,11.83474164,11.85276729,0.254827902898589,0.659373732085167,5.76112023095243
"GSM672812",8.944990335,8.067376208,9.402522677,11.98584164,11.68223941,0.245586451728624,0.688444508762564,5.78859014149976
"GSM672813",8.830134572,8.047924535,9.324801487,12.0542368,11.66334796,0.304703109173619,0.510921224792851,5.62084268896928
"GSM672814",8.923778439,8.047924535,9.250950186,11.87245242,11.77446952,0.270596933518961,0.611008630025142,5.71541849267606
"GSM672815",8.879577695,8.016636059,9.167288104,11.84500446,11.45253383,0.219355639262171,0.77437125281954,5.86978508166466
"GSM672816",8.813281784,8.019628996,8.831322305,12.00101413,11.46098476,0.343805675248342,0.402098752957802,5.5180128402858
"GSM672817",9.069464312,7.860385502,8.873246097,11.32421004,11.16270446,0.0986105843192087,1.28950906004626,6.35655534037148
