"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672758",10.5733777,13.07116617,14.26946022,12.13522082,10.85440372,10.74269703,10.38485409,9.970596283,10.00124461,9.943906691,10.00747918,10.38775948,9.989743123,10.24398885,10.52022342,0.0903581152956383,1.33855301497923,17.5386147106129
"GSM672759",10.64806134,13.01324461,14.16068439,12.18706394,10.8880052,10.86634126,10.3503487,10.09954424,10.0326223,10.01624201,10.20783569,10.68322677,10.22599703,10.50383271,10.77930967,0.0606976244051133,1.54894372422352,18.3527402722125
"GSM672760",10.3865855,12.98548327,14.27227695,12.08145093,11.10905242,10.56871487,10.00507361,9.674375465,9.724398885,9.728449442,9.888286245,10.3481119,10.02137472,10.28889442,10.5733777,0.209654957827356,0.807619051982148,15.4841185194556
"GSM672761",10.38045316,13.14322714,14.27893866,12.21031896,10.92041933,10.81497212,10.1254855,9.831281413,9.862908178,9.777935316,9.790525651,10.17617398,9.890813011,10.21153717,10.44341747,0.222128444116114,0.765024613371452,15.3192955508963
"GSM672762",10.28045836,13.08980112,13.70401115,12.41414164,11.21293494,10.56404164,9.821001487,9.477910781,9.750860223,9.661409665,9.638676208,10.05462639,9.804423792,10.00012416,10.28659294,0.462413929535536,0.0943541212740779,12.7240764321992
"GSM672763",10.17127509,13.2139171,13.91563829,12.06628662,10.8462368,10.6261316,9.960652788,9.639908922,9.709953532,9.749528253,9.765004461,10.14026543,9.866851301,10.0742026,10.26606654,0.208058132075953,0.813177558359131,15.5056276542557
"GSM672764",10.26368476,13.01151115,13.63515911,12.20520706,10.98396803,10.41638848,10.01761338,9.658863569,9.773249257,9.769912639,9.83315,10.2214171,9.982824907,10.14338662,10.35867472,0.233692134283636,0.726741593250581,15.1711559996415
"GSM672765",10.246271,13.20863941,13.17062045,12.14450074,10.93447918,10.62853197,10.08658401,9.782928996,9.795023792,9.743322305,9.982824907,10.40642565,10.10585762,10.2203197,10.39915502,0.164716919377283,0.975254893894544,16.1328003192906
"GSM672766",10.19194089,12.98548327,12.10151896,12.37289182,10.57505242,10.52265576,9.880541264,9.772573978,9.801787361,9.798108922,9.923634944,10.44395465,10.1897539,10.32256357,10.50016952,0.236623586465449,0.717205715871302,15.1342560740001
"GSM672767",10.66082342,12.99076729,12.34786914,12.53718401,11.25578067,10.82892454,10.24510112,9.786729368,9.830095911,9.775313755,9.83437119,10.16625242,9.922989777,9.984120446,10.22716952,0.417295790982147,0.208816382377853,13.1669983318296
"GSM672768",9.808316357,13.11539071,13.97367398,11.77964126,10.57562602,9.927572862,9.667862082,9.210145725,9.460184387,9.241455019,9.2402171,9.627864126,9.316182528,9.719139405,10.06448922,0.34430216988598,0.400749802668739,13.9097017722301
"GSM672769",10.14157732,12.75065836,13.88212491,11.84121078,10.59594424,10.32988178,9.827327509,9.314887361,9.243945353,9.352210781,9.385126394,9.786729368,9.50463829,9.847455762,10.21518253,0.336760189430428,0.421321436631195,13.9893055394918
"GSM672770",9.720425279,12.97704498,14.24448885,11.53286245,10.38045316,9.90340855,9.604932714,9.210145725,9.366164684,9.263217472,9.415497026,9.827327509,9.48922119,9.869347584,10.10077323,0.177051899729192,0.926658637683532,15.9447527837243
"GSM672771",9.675759108,13.2291658,14.31970743,11.82046914,10.34093643,10.02762937,9.434879926,9.170989591,9.174298141,9.098998885,9.34135316,9.851207435,9.541005576,9.859080669,10.18235576,0.378475187925408,0.309487951583881,13.5565559226156
