"","phrI","comA","rapI","ycxA","ywhH","pval","z","inv_cof_var"
"GSM672759",13.35817584,12.51664089,9.625894424,10.89689591,11.12529665,0.46779173553813,0.0808220512482693,7.2516091018961
"GSM672761",13.39298996,12.49575204,9.590351301,10.90626022,11.18414368,0.494280484163696,0.0143371912776898,7.14204980292755
"GSM672762",13.2749487,12.30192082,9.724398885,10.88349665,11.00960112,0.395101855847395,0.266046091700659,7.55683672865301
"GSM672764",13.29628699,12.12968401,9.702426022,10.44045019,10.91210632,0.49620423592897,0.00951471310311277,7.13410292106104
"GSM672765",13.19072825,12.30054126,9.82232974,10.50714535,10.73825836,0.401858506137525,0.248539499674691,7.52798790576999
"GSM672766",13.26739145,12.23010929,9.564360967,11.51967435,11.75077844,0.389073638837433,0.281734266237718,7.58268901149059
"GSM672767",13.61981078,11.97911264,10.52767361,11.24473197,11.04938625,0.20884653054735,0.8104300355741,8.45391800831426
"GSM672768",12.80153755,12.42150967,9.748265056,10.588729,10.56183123,0.229711618689541,0.739796904841314,8.33752284270118
"GSM672770",12.93638178,12.60212045,9.515183271,10.39144312,10.46688848,0.441334262929358,0.147587239949027,7.36163034993354
"GSM672776",13.3970368,12.11942565,9.704783271,11.53395353,11.45253383,0.375765760069181,0.316620577236743,7.64017758525525
"GSM672777",12.73028625,12.39295911,9.712572491,11.40767807,10.98499331,0.125543156311397,1.14771481641667,9.00972400923272
"GSM672779",13.40092937,12.34349182,10.14765651,10.5733777,10.73234387,0.389240652793963,0.281298702262162,7.58197125283337
"GSM672782",13.37626729,12.35933978,9.707454275,10.79582193,10.74038885,0.495693319240907,0.0107954574440759,7.13621343843621
"GSM672784",12.97208327,12.28882454,9.505805576,10.74155985,10.75245725,0.381252900650782,0.302191870269912,7.61640075815494
"GSM672787",13.5255539,12.06073494,10.21655725,11.10790929,11.28091301,0.2576089581073,0.650734457068219,8.19075831094522
"GSM672788",13.22730074,11.99971729,10.46688848,10.32126059,9.993965056,0.443537360220429,0.142006691197865,7.3524342561265
"GSM672795",13.40928959,12.31733383,10.21761561,10.92265688,11.16780799,0.240092073057434,0.706006418200646,8.28184005973682
"GSM672796",13.53679182,12.26005576,10.45966691,10.73348922,10.60397212,0.363555263419888,0.348971738441396,7.69348852768588
"GSM672804",13.03040297,12.31801933,9.625894424,10.11712491,10.59704647,0.486634694560317,0.0335081219126126,7.1736412618231
"GSM672806",13.83479257,12.13241078,10.56632751,10.89157584,11.74885446,0.296433947874689,0.53468471057741,7.99952185686173
"GSM672807",12.7318948,12.88760223,9.517847955,9.696065428,10.62261115,0.476592259742098,0.0587082106287877,7.21516807040645
"GSM672811",12.4632171,12.78364684,9.636028996,9.55144052,10.61090149,0.338211064214007,0.417350400485391,7.80616859170741
"GSM672812",12.69237249,12.60816022,9.874389219,9.816794796,10.8438829,0.285868540992637,0.565495062089579,8.05029372453419
"GSM672813",12.49265874,12.33753643,9.623286617,10.09954424,10.62853197,0.197022921465706,0.852303177449234,8.52292006489496
"GSM672814",12.72122491,12.35640037,9.477271004,10.04106729,10.4644316,0.406844752793478,0.235669027338931,7.5067788676954
"GSM672815",13.06224758,12.14592454,9.934946097,10.06692714,10.42071691,0.439279937350532,0.1527950838886,7.37021226965797
"GSM672816",13.6744539,12.25859294,10.83013309,10.25501375,10.84853383,0.431002069845466,0.17382354518925,7.40486472255485
"GSM672817",13.63154052,12.158871,10.37459182,11.02368327,11.36371152,0.257782185224993,0.650197941687154,8.18987419613981
